day_of_year,hour_of_day,time_in_secs
01-04-18,17,3079
01-04-18,18,2540
01-04-18,19,2320
01-04-18,20,2247
01-04-18,21,2409
01-04-18,22,2647
01-04-18,23,2697
01-05-18,0,2223
01-05-18,1,2365
01-05-18,2,2630
01-05-18,3,2559
01-05-18,4,2836
01-05-18,5,2099
01-05-18,6,2349
01-05-18,7,3003
01-05-18,8,3065
01-05-18,9,2604
01-05-18,10,2641
01-05-18,11,2460
01-05-18,12,2632
01-05-18,13,2825
01-05-18,14,2523
01-05-18,15,2510
01-05-18,16,2956
01-05-18,17,2532
01-05-18,18,2948
01-05-18,19,2712
01-05-18,20,2894
01-05-18,21,2082
01-05-18,22,1895
01-05-18,23,2831
01-06-18,0,2425
01-06-18,1,2271
01-06-18,2,2133
01-06-18,3,1929
01-06-18,4,2353
01-06-18,5,2899
01-06-18,6,2389
01-06-18,7,2818
01-06-18,8,2888
01-06-18,9,2114
01-06-18,10,2840
01-06-18,11,2569
01-06-18,12,2760
01-06-18,13,2688
01-06-18,14,2547
01-06-18,15,2790
01-06-18,16,2632
01-06-18,17,2433
01-06-18,18,2473
01-06-18,19,2270
01-06-18,20,2742
01-06-18,21,2499
01-06-18,22,2482
01-06-18,23,2716
01-07-18,0,2298
01-07-18,1,2831
01-07-18,2,1896
01-07-18,3,2263
01-07-18,4,2407
01-07-18,5,2951
01-07-18,6,2208
01-07-18,7,2738
01-07-18,8,2976
01-07-18,9,2612
01-07-18,10,2274
01-07-18,11,2002
01-07-18,12,2780
01-07-18,13,2636
01-07-18,14,2408
01-07-18,15,2038
01-07-18,16,2095
01-07-18,17,3229
01-07-18,18,2824
01-07-18,19,2801
01-07-18,20,2814
01-07-18,21,2273
01-07-18,22,2254
01-07-18,23,2164
01-08-18,0,2105
01-08-18,1,1991
01-08-18,2,2526
01-08-18,3,2129
01-08-18,4,2227
01-08-18,5,2825
01-08-18,6,2554
01-08-18,7,3826
01-08-18,8,2810
01-08-18,9,2382
01-08-18,10,2126
01-08-18,11,2660
01-08-18,12,2075
01-08-18,13,1988
01-08-18,14,2799
01-08-18,15,2019
01-08-18,16,2349
01-08-18,17,2429
01-08-18,18,2181
01-08-18,19,2337
01-08-18,20,2321
01-08-18,21,2639
01-08-18,22,2764
01-08-18,23,2620
01-09-18,0,2641
01-09-18,1,2214
01-09-18,2,2238
01-09-18,3,2011
01-09-18,4,2568
01-09-18,5,2395
01-09-18,6,2719
01-09-18,7,3011
01-09-18,8,3711
01-09-18,9,3003
01-09-18,10,2448
01-09-18,11,2020
01-09-18,12,2223
01-09-18,13,2383
01-09-18,14,2481
01-09-18,15,1989
01-09-18,16,2418
01-09-18,17,2578
01-09-18,18,2622
01-09-18,19,2152
01-09-18,20,2373
01-09-18,21,2264
01-09-18,22,2008
01-09-18,23,2005
01-10-18,0,2648
01-10-18,1,2831
01-10-18,2,1950
01-10-18,3,2106
01-10-18,4,2337
01-10-18,5,2159
01-10-18,6,2258
01-10-18,7,2826
01-10-18,8,3641
01-10-18,9,2570
01-10-18,10,2748
01-10-18,11,2785
01-10-18,12,2336
01-10-18,13,2738
01-10-18,14,2063
01-10-18,15,2039
01-10-18,16,2953
01-10-18,17,2399
01-10-18,18,2741
01-10-18,19,2035
01-10-18,20,2314
01-10-18,21,2055
01-10-18,22,2659
01-10-18,23,2350
01-11-18,0,2082
01-11-18,1,2137
01-11-18,2,2555
01-11-18,3,1960
01-11-18,4,2950
01-11-18,5,2866
01-11-18,6,2971
01-11-18,7,3242
01-11-18,8,2697
01-11-18,9,2867
01-11-18,10,2251
01-11-18,11,2629
01-11-18,12,2582
01-11-18,13,2714
01-11-18,14,2601
01-11-18,15,2877
01-11-18,16,2354
01-11-18,17,3133
01-11-18,18,2133
01-11-18,19,2669
01-11-18,20,2528
01-11-18,21,2316
01-11-18,22,2376
01-11-18,23,2257
01-12-18,0,3005
01-12-18,1,2609
01-12-18,2,1896
01-12-18,3,2784
01-12-18,4,2380
01-12-18,5,2169
01-12-18,6,2489
01-12-18,7,3492
01-12-18,8,3341
01-12-18,9,2081
01-12-18,10,2378
01-12-18,11,1997
01-12-18,12,2260
01-12-18,13,2838
01-12-18,14,2898
01-12-18,15,2069
01-12-18,16,2265
01-12-18,17,2749
01-12-18,18,2860
01-12-18,19,2511
01-12-18,20,2818
01-12-18,21,2724
01-12-18,22,2116
01-12-18,23,2003
01-13-18,0,2216
01-13-18,1,2182
01-13-18,2,2073
01-13-18,3,2535
01-13-18,4,2008
01-13-18,5,2734
01-13-18,6,2142
01-13-18,7,3794
01-13-18,8,3577
01-13-18,9,3053
01-13-18,10,2119
01-13-18,11,2094
01-13-18,12,2197
01-13-18,13,2317
01-13-18,14,2055
01-13-18,15,2587
01-13-18,16,2906
01-13-18,17,2296
01-13-18,18,2060
01-13-18,19,2198
01-13-18,20,2600
01-13-18,21,2118
01-13-18,22,2245
01-13-18,23,2883
01-14-18,0,2911
01-14-18,1,2152
01-14-18,2,2486
01-14-18,3,2741
01-14-18,4,2225
01-14-18,5,2243
01-14-18,6,2341
01-14-18,7,3352
01-14-18,8,3526
01-14-18,9,2398
01-14-18,10,2259
01-14-18,11,1997
01-14-18,12,2705
01-14-18,13,2193
01-14-18,14,2293
01-14-18,15,2722
01-14-18,16,2133
01-14-18,17,2515
01-14-18,18,2183
01-14-18,19,2504
01-14-18,20,1952
01-14-18,21,2322
01-14-18,22,2557
01-14-18,23,2764
01-15-18,0,2312
01-15-18,1,2858
01-15-18,2,2540
01-15-18,3,2013
01-15-18,4,2240
01-15-18,5,2169
01-15-18,6,2872
01-15-18,7,3127
01-15-18,8,2740
01-15-18,9,2297
01-15-18,10,2209
01-15-18,11,2101
01-15-18,12,2653
01-15-18,13,2807
01-15-18,14,2705
01-15-18,15,2699
01-15-18,16,2966
01-15-18,17,2168
01-15-18,18,2778
01-15-18,19,2816
01-15-18,20,2761
01-15-18,21,2261
01-15-18,22,2527
01-15-18,23,2643
01-16-18,0,2408
01-16-18,1,2127
01-16-18,2,2244
01-16-18,3,2608
01-16-18,4,2885
01-16-18,5,2726
01-16-18,6,3018
01-16-18,7,2991
01-16-18,8,2849
01-16-18,9,3072
01-16-18,10,2509
01-16-18,11,2607
01-16-18,12,2714
01-16-18,13,2105
01-16-18,14,2053
01-16-18,15,2568
01-16-18,16,2372
01-16-18,17,2752
01-16-18,18,2273
01-16-18,19,2600
01-16-18,20,2894
01-16-18,21,2240
01-16-18,22,2479
01-16-18,23,2521
01-17-18,0,2230
01-17-18,1,2015
01-17-18,2,2620
01-17-18,3,2231
01-17-18,4,2224
01-17-18,5,2845
01-17-18,6,2149
01-17-18,7,3269
01-17-18,8,2570
01-17-18,9,3065
01-17-18,10,2143
01-17-18,11,1981
01-17-18,12,2179
01-17-18,13,2664
01-17-18,14,2537
01-17-18,15,2937
01-17-18,16,2594
01-17-18,17,3081
01-17-18,18,2905
01-17-18,19,2328
01-17-18,20,2008
01-17-18,21,2336
01-17-18,22,2728
01-17-18,23,2203
01-18-18,0,2731
01-18-18,1,2379
01-18-18,2,2468
01-18-18,3,2028
01-18-18,4,2047
01-18-18,5,2865
01-18-18,6,2101
01-18-18,7,3845
01-18-18,8,2868
01-18-18,9,3037
01-18-18,10,2638
01-18-18,11,2756
01-18-18,12,2772
01-18-18,13,2025
01-18-18,14,1987
01-18-18,15,2568
01-18-18,16,2528
01-18-18,17,2393
01-18-18,18,2311
01-18-18,19,2102
01-18-18,20,2660
01-18-18,21,2792
01-18-18,22,1919
01-18-18,23,2439
01-19-18,0,2745
01-19-18,1,2432
01-19-18,2,2523
01-19-18,3,2013
01-19-18,4,2919
01-19-18,5,3004
01-19-18,6,2228
01-19-18,7,3516
01-19-18,8,3555
01-19-18,9,2850
01-19-18,10,2025
01-19-18,11,2410
01-19-18,12,2588
01-19-18,13,2123
01-19-18,14,2514
01-19-18,15,2780
01-19-18,16,2192
01-19-18,17,2546
01-19-18,18,2050
01-19-18,19,1995
01-19-18,20,2751
01-19-18,21,2546
01-19-18,22,2757
01-19-18,23,2165
01-20-18,0,2872
01-20-18,1,2433
01-20-18,2,2127
01-20-18,3,2479
01-20-18,4,2472
01-20-18,5,2541
01-20-18,6,2789
01-20-18,7,3545
01-20-18,8,3228
01-20-18,9,2930
01-20-18,10,2656
01-20-18,11,2116
01-20-18,12,2535
01-20-18,13,2066
01-20-18,14,2860
01-20-18,15,2614
01-20-18,16,2939
01-20-18,17,2649
01-20-18,18,2330
01-20-18,19,2001
01-20-18,20,2262
01-20-18,21,2449
01-20-18,22,2694
01-20-18,23,2621
01-21-18,0,2581
01-21-18,1,2391
01-21-18,2,2391
01-21-18,3,2573
01-21-18,4,2835
01-21-18,5,3007
01-21-18,6,2613
01-21-18,7,3075
01-21-18,8,3683
01-21-18,9,2849
01-21-18,10,2030
01-21-18,11,2452
01-21-18,12,2332
01-21-18,13,2308
01-21-18,14,2606
01-21-18,15,2650
01-21-18,16,2045
01-21-18,17,2566
01-21-18,18,2044
01-21-18,19,2107
01-21-18,20,2297
01-21-18,21,2312
01-21-18,22,2123
01-21-18,23,2064
01-22-18,0,2263
01-22-18,1,2234
01-22-18,2,1898
01-22-18,3,2223
01-22-18,4,2309
01-22-18,5,2144
01-22-18,6,2194
01-22-18,7,3791
01-22-18,8,3167
01-22-18,9,2895
01-22-18,10,2660
01-22-18,11,2394
01-22-18,12,2146
01-22-18,13,2377
01-22-18,14,2220
01-22-18,15,2644
01-22-18,16,2357
01-22-18,17,3165
01-22-18,18,2406
01-22-18,19,2794
01-22-18,20,2313
01-22-18,21,2040
01-22-18,22,2741
01-22-18,23,2054
01-23-18,0,2607
01-23-18,1,2379
01-23-18,2,1812
01-23-18,3,2454
01-23-18,4,2212
01-23-18,5,2587
01-23-18,6,2341
01-23-18,7,3279
01-23-18,8,3578
01-23-18,9,3031
01-23-18,10,2233
01-23-18,11,2267
01-23-18,12,2035
01-23-18,13,1935
01-23-18,14,2016
01-23-18,15,2445
01-23-18,16,2859
01-23-18,17,2736
01-23-18,18,2240
01-23-18,19,2211
01-23-18,20,2132
01-23-18,21,1892
01-23-18,22,2262
01-23-18,23,2902
01-24-18,0,2181
01-24-18,1,2401
01-24-18,2,1893
01-24-18,3,2186
01-24-18,4,2166
01-24-18,5,2260
01-24-18,6,3048
01-24-18,7,3216
01-24-18,8,3017
01-24-18,9,2231
01-24-18,10,2687
01-24-18,11,2023
01-24-18,12,1916
01-24-18,13,2680
01-24-18,14,2879
01-24-18,15,2326
01-24-18,16,2576
01-24-18,17,3053
01-24-18,18,2676
01-24-18,19,2116
01-24-18,20,2094
01-24-18,21,2733
01-24-18,22,2766
01-24-18,23,2895
01-25-18,0,2627
01-25-18,1,2013
01-25-18,2,2412
01-25-18,3,2471
01-25-18,4,2654
01-25-18,5,2174
01-25-18,6,2585
01-25-18,7,2674
01-25-18,8,3323
01-25-18,9,3061
01-25-18,10,2176
01-25-18,11,2094
01-25-18,12,2247
01-25-18,13,2041
01-25-18,14,2816
01-25-18,15,2731
01-25-18,16,2427
01-25-18,17,3008
01-25-18,18,2298
01-25-18,19,2643
01-25-18,20,2471
01-25-18,21,2663
01-25-18,22,1924
01-25-18,23,2078
01-26-18,0,2145
01-26-18,1,2693
01-26-18,2,2627
01-26-18,3,2716
01-26-18,4,2306
01-26-18,5,2766
01-26-18,6,2902
01-26-18,7,3669
01-26-18,8,3578
01-26-18,9,2097
01-26-18,10,2932
01-26-18,11,1962
01-26-18,12,2810
01-26-18,13,2227
01-26-18,14,2029
01-26-18,15,2449
01-26-18,16,2167
01-26-18,17,2376
01-26-18,18,2883
01-26-18,19,2396
01-26-18,20,2583
01-26-18,21,2501
01-26-18,22,2581
01-26-18,23,2658
01-27-18,0,2953
01-27-18,1,2045
01-27-18,2,2498
01-27-18,3,1987
01-27-18,4,2695
01-27-18,5,2665
01-27-18,6,2231
01-27-18,7,3673
01-27-18,8,3436
01-27-18,9,2480
01-27-18,10,2203
01-27-18,11,2240
01-27-18,12,2707
01-27-18,13,2536
01-27-18,14,2071
01-27-18,15,2076
01-27-18,16,2665
01-27-18,17,3127
01-27-18,18,2454
01-27-18,19,2423
01-27-18,20,2376
01-27-18,21,2745
01-27-18,22,2623
01-27-18,23,2160
01-28-18,0,2569
01-28-18,1,2825
01-28-18,2,1897
01-28-18,3,2726
01-28-18,4,2945
01-28-18,5,2271
01-28-18,6,3099
01-28-18,7,3820
01-28-18,8,3526
01-28-18,9,2515
01-28-18,10,2166
01-28-18,11,1909
01-28-18,12,2716
01-28-18,13,2631
01-28-18,14,2823
01-28-18,15,2731
01-28-18,16,2996
01-28-18,17,3073
01-28-18,18,2205
01-28-18,19,2126
01-28-18,20,2595
01-28-18,21,1961
01-28-18,22,2406
01-28-18,23,2839
01-29-18,0,2957
01-29-18,1,2831
01-29-18,2,2539
01-29-18,3,2367
01-29-18,4,2172
01-29-18,5,2941
01-29-18,6,2816
01-29-18,7,3419
01-29-18,8,2788
01-29-18,9,2323
01-29-18,10,2329
01-29-18,11,2127
01-29-18,12,2191
01-29-18,13,2243
01-29-18,14,2802
01-29-18,15,2573
01-29-18,16,2075
01-29-18,17,3018
01-29-18,18,2413
01-29-18,19,2302
01-29-18,20,2593
01-29-18,21,2398
01-29-18,22,2078
01-29-18,23,2762
01-30-18,0,2604
01-30-18,1,2231
01-30-18,2,2453
01-30-18,3,2462
01-30-18,4,2254
01-30-18,5,2318
01-30-18,6,2222
01-30-18,7,3374
01-30-18,8,3312
01-30-18,9,2112
01-30-18,10,2526
01-30-18,11,2173
01-30-18,12,2731
01-30-18,13,2526
01-30-18,14,2892
01-30-18,15,2799
01-30-18,16,2209
01-30-18,17,3196
01-30-18,18,2934
01-30-18,19,2477
01-30-18,20,2006
01-30-18,21,2600
01-30-18,22,1950
01-30-18,23,2796
01-31-18,0,2260
01-31-18,1,2372
01-31-18,2,1979
01-31-18,3,2549
01-31-18,4,2599
01-31-18,5,2957
01-31-18,6,2460
01-31-18,7,3713
01-31-18,8,3291
01-31-18,9,2924
01-31-18,10,2934
01-31-18,11,2319
01-31-18,12,2685
01-31-18,13,2764
01-31-18,14,2838
01-31-18,15,2354
01-31-18,16,2899
01-31-18,17,3029
01-31-18,18,2011
01-31-18,19,2479
01-31-18,20,2079
01-31-18,21,2210
01-31-18,22,2031
01-31-18,23,2748
02-01-18,0,2591
02-01-18,1,2639
02-01-18,2,1991
02-01-18,3,2343
02-01-18,4,2251
02-01-18,5,2327
02-01-18,6,3042
02-01-18,7,3080
02-01-18,8,2719
02-01-18,9,2189
02-01-18,10,2934
02-01-18,11,2349
02-01-18,12,2227
02-01-18,13,2625
02-01-18,14,2317
02-01-18,15,1994
02-01-18,16,2354
02-01-18,17,2609
02-01-18,18,2972
02-01-18,19,2817
02-01-18,20,2268
02-01-18,21,2294
02-01-18,22,2327
02-01-18,23,2964
02-02-18,0,2469
02-02-18,1,2383
02-02-18,2,2078
02-02-18,3,2484
02-02-18,4,2247
02-02-18,5,2447
02-02-18,6,2467
02-02-18,7,3687
02-02-18,8,3572
02-02-18,9,2798
02-02-18,10,2027
02-02-18,11,2844
02-02-18,12,2864
02-02-18,13,2486
02-02-18,14,2597
02-02-18,15,2828
02-02-18,16,2446
02-02-18,17,3098
02-02-18,18,2794
02-02-18,19,2361
02-02-18,20,2478
02-02-18,21,2047
02-02-18,22,2450
02-02-18,23,2776
02-03-18,0,3004
02-03-18,1,2009
02-03-18,2,1868
02-03-18,3,2375
02-03-18,4,2413
02-03-18,5,2570
02-03-18,6,2729
02-03-18,7,3461
02-03-18,8,3422
02-03-18,9,2385
02-03-18,10,2797
02-03-18,11,2171
02-03-18,12,2260
02-03-18,13,2104
02-03-18,14,2051
02-03-18,15,2681
02-03-18,16,2849
02-03-18,17,2800
02-03-18,18,2123
02-03-18,19,2926
02-03-18,20,2519
02-03-18,21,2762
02-03-18,22,2265
02-03-18,23,2434
02-04-18,0,2327
02-04-18,1,2831
02-04-18,2,2446
02-04-18,3,2081
02-04-18,4,2389
02-04-18,5,2637
02-04-18,6,2674
02-04-18,7,3655
02-04-18,8,3113
02-04-18,9,2210
02-04-18,10,2901
02-04-18,11,2242
02-04-18,12,2727
02-04-18,13,2008
02-04-18,14,2887
02-04-18,15,2499
02-04-18,16,2701
02-04-18,17,3019
02-04-18,18,2592
02-04-18,19,2195
02-04-18,20,2512
02-04-18,21,2583
02-04-18,22,2293
02-04-18,23,2822
02-05-18,0,2407
02-05-18,1,2306
02-05-18,2,2248
02-05-18,3,2099
02-05-18,4,2612
02-05-18,5,2209
02-05-18,6,2549
02-05-18,7,3882
02-05-18,8,3324
02-05-18,9,2518
02-05-18,10,2411
02-05-18,11,2814
02-05-18,12,2426
02-05-18,13,2159
02-05-18,14,2827
02-05-18,15,2960
02-05-18,16,2331
02-05-18,17,2619
02-05-18,18,2763
02-05-18,19,2894
02-05-18,20,2479
02-05-18,21,1964
02-05-18,22,2615
02-05-18,23,2134
02-06-18,0,2056
02-06-18,1,2237
02-06-18,2,2586
02-06-18,3,2295
02-06-18,4,2645
02-06-18,5,2383
02-06-18,6,2331
02-06-18,7,3743
02-06-18,8,2924
02-06-18,9,2630
02-06-18,10,2774
02-06-18,11,2463
02-06-18,12,2808
02-06-18,13,2489
02-06-18,14,2662
02-06-18,15,2750
02-06-18,16,2531
02-06-18,17,2195
02-06-18,18,2586
02-06-18,19,2244
02-06-18,20,2118
02-06-18,21,2583
02-06-18,22,2418
02-06-18,23,2213
02-07-18,0,2762
02-07-18,1,2679
02-07-18,2,2525
02-07-18,3,2164
02-07-18,4,2184
02-07-18,5,2161
02-07-18,6,2469
02-07-18,7,3559
02-07-18,8,2936
02-07-18,9,2929
02-07-18,10,2967
02-07-18,11,2502
02-07-18,12,2799
02-07-18,13,2230
02-07-18,14,2726
02-07-18,15,2564
02-07-18,16,2405
02-07-18,17,2898
02-07-18,18,2338
02-07-18,19,2302
02-07-18,20,2622
02-07-18,21,2211
02-07-18,22,2382
02-07-18,23,2220
02-08-18,0,3004
02-08-18,1,2609
02-08-18,2,2293
02-08-18,3,2077
02-08-18,4,2850
02-08-18,5,2375
02-08-18,6,2927
02-08-18,7,3511
02-08-18,8,3688
02-08-18,9,2129
02-08-18,10,2319
02-08-18,11,1920
02-08-18,12,2391
02-08-18,13,2156
02-08-18,14,2177
02-08-18,15,1996
02-08-18,16,2659
02-08-18,17,2658
02-08-18,18,2322
02-08-18,19,2843
02-08-18,20,2745
02-08-18,21,2594
02-08-18,22,2097
02-08-18,23,2489
02-09-18,0,2823
02-09-18,1,2767
02-09-18,2,1870
02-09-18,3,2025
02-09-18,4,2315
02-09-18,5,2628
02-09-18,6,2124
02-09-18,7,3516
02-09-18,8,2622
02-09-18,9,2443
02-09-18,10,2113
02-09-18,11,2023
02-09-18,12,2588
02-09-18,13,2076
02-09-18,14,2824
02-09-18,15,2862
02-09-18,16,2800
02-09-18,17,2979
02-09-18,18,2456
02-09-18,19,2099
02-09-18,20,2339
02-09-18,21,2430
02-09-18,22,2043
02-09-18,23,2835
02-10-18,0,2463
02-10-18,1,2254
02-10-18,2,2383
02-10-18,3,2201
02-10-18,4,2235
02-10-18,5,2502
02-10-18,6,2338
02-10-18,7,3046
02-10-18,8,3421
02-10-18,9,2502
02-10-18,10,2103
02-10-18,11,2760
02-10-18,12,1971
02-10-18,13,2824
02-10-18,14,2087
02-10-18,15,2209
02-10-18,16,2644
02-10-18,17,2175
02-10-18,18,2196
02-10-18,19,2865
02-10-18,20,2421
02-10-18,21,2698
02-10-18,22,2288
02-10-18,23,2929
02-11-18,0,2064
02-11-18,1,2875
02-11-18,2,2562
02-11-18,3,2698
02-11-18,4,2721
02-11-18,5,2236
02-11-18,6,2836
02-11-18,7,2685
02-11-18,8,3672
02-11-18,9,2104
02-11-18,10,2087
02-11-18,11,2475
02-11-18,12,2836
02-11-18,13,1934
02-11-18,14,2549
02-11-18,15,2107
02-11-18,16,3031
02-11-18,17,2929
02-11-18,18,2835
02-11-18,19,2700
02-11-18,20,2881
02-11-18,21,1914
02-11-18,22,2569
02-11-18,23,2113
02-12-18,0,2649
02-12-18,1,1965
02-12-18,2,2055
02-12-18,3,2491
02-12-18,4,2106
02-12-18,5,2278
02-12-18,6,2737
02-12-18,7,3230
02-12-18,8,2918
02-12-18,9,3011
02-12-18,10,2919
02-12-18,11,2527
02-12-18,12,2095
02-12-18,13,2450
02-12-18,14,2650
02-12-18,15,2696
02-12-18,16,2446
02-12-18,17,2672
02-12-18,18,2014
02-12-18,19,2824
02-12-18,20,2246
02-12-18,21,2391
02-12-18,22,2251
02-12-18,23,2079
02-13-18,0,2581
02-13-18,1,2540
02-13-18,2,1810
02-13-18,3,2461
02-13-18,4,2851
02-13-18,5,2359
02-13-18,6,2870
02-13-18,7,2705
02-13-18,8,3682
02-13-18,9,2426
02-13-18,10,2232
02-13-18,11,2103
02-13-18,12,2604
02-13-18,13,2063
02-13-18,14,2497
02-13-18,15,2956
02-13-18,16,2613
02-13-18,17,2492
02-13-18,18,2301
02-13-18,19,2243
02-13-18,20,2629
02-13-18,21,2602
02-13-18,22,2164
02-13-18,23,2558
02-14-18,0,2319
02-14-18,1,2460
02-14-18,2,1963
02-14-18,3,2132
02-14-18,4,2241
02-14-18,5,2957
02-14-18,6,2660
02-14-18,7,2983
02-14-18,8,3313
02-14-18,9,2680
02-14-18,10,2286
02-14-18,11,1988
02-14-18,12,1963
02-14-18,13,2507
02-14-18,14,2477
02-14-18,15,2461
02-14-18,16,2965
02-14-18,17,2890
02-14-18,18,2198
02-14-18,19,2146
02-14-18,20,2402
02-14-18,21,2158
02-14-18,22,2232
02-14-18,23,2514
02-15-18,0,2243
02-15-18,1,2885
02-15-18,2,2126
02-15-18,3,2708
02-15-18,4,2507
02-15-18,5,2259
02-15-18,6,2902
02-15-18,7,3308
02-15-18,8,2571
02-15-18,9,2226
02-15-18,10,2686
02-15-18,11,2776
02-15-18,12,2205
02-15-18,13,2282
02-15-18,14,2131
02-15-18,15,2441
02-15-18,16,2849
02-15-18,17,2188
02-15-18,18,2536
02-15-18,19,2602
02-15-18,20,2247
02-15-18,21,1965
02-15-18,22,2305
02-15-18,23,2090
02-16-18,0,2411
02-16-18,1,2099
02-16-18,2,2282
02-16-18,3,2472
02-16-18,4,2892
02-16-18,5,2177
02-16-18,6,2166
02-16-18,7,3862
02-16-18,8,3506
02-16-18,9,2381
02-16-18,10,2160
02-16-18,11,2358
02-16-18,12,2130
02-16-18,13,2674
02-16-18,14,1991
02-16-18,15,2477
02-16-18,16,2250
02-16-18,17,2592
02-16-18,18,2167
02-16-18,19,2489
02-16-18,20,2824
02-16-18,21,2060
02-16-18,22,2163
02-16-18,23,2149
02-17-18,0,2730
02-17-18,1,2227
02-17-18,2,2269
02-17-18,3,2710
02-17-18,4,2744
02-17-18,5,2941
02-17-18,6,3124
02-17-18,7,2675
02-17-18,8,2695
02-17-18,9,2611
02-17-18,10,2611
02-17-18,11,1946
02-17-18,12,2721
02-17-18,13,2020
02-17-18,14,2097
02-17-18,15,2585
02-17-18,16,2675
02-17-18,17,2195
02-17-18,18,2081
02-17-18,19,2852
02-17-18,20,2383
02-17-18,21,2414
02-17-18,22,1889
02-17-18,23,2498
02-18-18,0,2902
02-18-18,1,2837
02-18-18,2,2188
02-18-18,3,1987
02-18-18,4,1976
02-18-18,5,2931
02-18-18,6,2405
02-18-18,7,3797
02-18-18,8,2625
02-18-18,9,2093
02-18-18,10,2847
02-18-18,11,2240
02-18-18,12,2768
02-18-18,13,2356
02-18-18,14,2113
02-18-18,15,2236
02-18-18,16,2766
02-18-18,17,3234
02-18-18,18,2251
02-18-18,19,2756
02-18-18,20,2323
02-18-18,21,2116
02-18-18,22,1984
02-18-18,23,2273
02-19-18,0,2902
02-19-18,1,2007
02-19-18,2,2052
02-19-18,3,2021
02-19-18,4,2714
02-19-18,5,2255
02-19-18,6,2098
02-19-18,7,2921
02-19-18,8,3028
02-19-18,9,2321
02-19-18,10,2681
02-19-18,11,2568
02-19-18,12,2657
02-19-18,13,2633
02-19-18,14,2276
02-19-18,15,2390
02-19-18,16,2483
02-19-18,17,2669
02-19-18,18,2400
02-19-18,19,2827
02-19-18,20,2394
02-19-18,21,2182
02-19-18,22,2722
02-19-18,23,2933
02-20-18,0,2673
02-20-18,1,2357
02-20-18,2,2550
02-20-18,3,1878
02-20-18,4,2256
02-20-18,5,2170
02-20-18,6,2783
02-20-18,7,3049
02-20-18,8,3518
02-20-18,9,3020
02-20-18,10,2775
02-20-18,11,2184
02-20-18,12,2544
02-20-18,13,2130
02-20-18,14,2068
02-20-18,15,2302
02-20-18,16,2101
02-20-18,17,2333
02-20-18,18,2079
02-20-18,19,2710
02-20-18,20,2563
02-20-18,21,2513
02-20-18,22,2591
02-20-18,23,2024
02-21-18,0,2185
02-21-18,1,2315
02-21-18,2,1968
02-21-18,3,2509
02-21-18,4,2756
02-21-18,5,2351
02-21-18,6,3023
02-21-18,7,3276
02-21-18,8,3298
02-21-18,9,2404
02-21-18,10,2617
02-21-18,11,2586
02-21-18,12,2084
02-21-18,13,2003
02-21-18,14,2246
02-21-18,15,2066
02-21-18,16,2469
02-21-18,17,3059
02-21-18,18,2815
02-21-18,19,2262
02-21-18,20,2590
02-21-18,21,2481
02-21-18,22,2350
02-21-18,23,2949
02-22-18,0,2990
02-22-18,1,2798
02-22-18,2,2348
02-22-18,3,2674
02-22-18,4,2160
02-22-18,5,2946
02-22-18,6,2450
02-22-18,7,3173
02-22-18,8,2845
02-22-18,9,2352
02-22-18,10,2360
02-22-18,11,2646
02-22-18,12,2180
02-22-18,13,2002
02-22-18,14,2219
02-22-18,15,2750
02-22-18,16,2934
02-22-18,17,3185
02-22-18,18,2586
02-22-18,19,2116
02-22-18,20,2093
